,1,2,3,4,5,6,7,8,9,10,11,12
0,1.08,1.29,1.17,0.99,0.94,0.94,0.88,0.77,0.88,1.04,1.16,1.12
1,1.11,1.26,1.18,1.02,0.94,0.95,0.87,0.77,0.87,1.04,1.17,1.13
2,1.12,1.22,1.17,1.04,0.93,0.95,0.87,0.77,0.88,1.03,1.16,1.12
3,1.12,1.19,1.18,1.04,0.91,0.94,0.89,0.76,0.87,1.03,1.16,1.11
4,1.15,1.2,1.17,1.04,0.91,0.93,0.89,0.77,0.87,1.04,1.17,1.11
5,1.15,1.21,1.18,1.02,0.92,0.92,0.88,0.77,0.86,1.05,1.18,1.12
6,1.16,1.19,1.19,1,0.92,0.89,0.87,0.76,0.85,1.04,1.19,1.12
7,1.16,1.14,1.17,0.99,0.89,0.86,0.86,0.73,0.83,1.04,1.18,1.11
8,1.15,1.1,1.15,0.97,0.86,0.84,0.85,0.68,0.8,1.01,1.14,1.1
9,1.14,1.03,1.14,0.96,0.87,0.83,0.83,0.66,0.79,0.98,1.13,1.08
10,1.12,0.99,1.15,0.96,0.87,0.83,0.82,0.65,0.77,0.95,1.12,1.07
11,1.11,0.96,1.15,0.95,0.91,0.84,0.82,0.66,0.76,0.93,1.09,1.08
12,1.07,0.98,1.15,0.98,0.98,0.84,0.83,0.68,0.76,0.93,1.08,1.08
13,1.04,1,1.15,0.99,1.01,0.86,0.85,0.69,0.78,0.95,1.07,1.1
14,1.04,1.01,1.17,1.01,1.03,0.9,0.89,0.71,0.81,0.95,1.06,1.11
15,1.06,1.02,1.19,1.02,1.05,0.94,0.88,0.72,0.82,0.95,1.06,1.15
16,1.11,1.04,1.19,1.03,1.08,0.95,0.87,0.74,0.81,0.96,1.09,1.22
17,1.14,1.08,1.2,1.03,1.09,0.96,0.86,0.75,0.8,0.98,1.1,1.28
18,1.16,1.13,1.2,1.05,1.06,0.96,0.86,0.76,0.81,1.01,1.1,1.29
19,1.17,1.16,1.21,1.05,1.02,0.96,0.88,0.74,0.81,1.02,1.1,1.28
20,1.22,1.17,1.21,1.05,0.99,0.97,0.89,0.74,0.82,1.03,1.09,1.24
21,1.23,1.15,1.19,1.03,0.97,0.96,0.89,0.75,0.83,1.04,1.07,1.24
22,1.22,1.14,1.2,1,0.95,0.94,0.87,0.76,0.82,1.05,1.07,1.24
23,1.21,1.12,1.21,0.97,0.94,0.91,0.85,0.77,0.84,1.07,1.08,1.22