perc,sel_perc,val,count
2,2,540.5,3
4,4,537.18,7
6,6,534.8,10
8,8,532.45,13
10,10,530.16,16
12,12,527.25,20
14,14,524.94,23
16,16,522.61,26
18,18,519.33,30
20,20,516.82,33
22,22,514.26,36
24,24,510.52,40
26,26,507.28,43
28,28,504.2,46
30,30,500.24,50
32,32,497.37,53
34,34,494.68,56
36,36,492.15,59
38,38,489,63
40,40,486.63,66
42,42,484.23,69
44,44,480.96,73
46,46,478.48,76
48,48,476.08,79
50,50,473.72,82
52,52,470.61,86
54,54,468.25,89
56,56,465.9,92
58,58,462.61,96
60,60,460.19,99
62,62,457.76,102
64,64,454.59,106
66,66,452.3,109
68,68,450.08,112
70,70,447.19,116
72,72,445.06,119
74,74,442.99,122
76,76,440.86,125
78,78,437.96,129
80,80,435.84,132
82,82,433.73,135
84,84,430.91,139
86,86,428.72,142
88,88,426.52,145
90,90,424.29,148
92,92,421.26,152
94,94,419.03,155
96,96,416.83,158
98,98,413.78,162
100,100,410.83,165